,product_name,prodcut_link,current_prices,old_prices,percent_discounts
53,Laptop Asus Vivobook GO 15 E1504FA-NJ454W,https://cellphones.com.vn/laptop-asus-vivobook-go-15-e1504fa-nj454w.html,15.490.000₫,42.990.000₫,Giảm 14%
54,Laptop Asus TUF Gaming F15 FX507VV4-LP382W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vv4-lp382w.html,12.490.000₫,20.490.000₫,Giảm 24%
55,Laptop Lenovo LOQ 15IAX9 83GS000FVN,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs000fvn.html,32.490.000₫,25.990.000₫,Giảm 6%
56,Laptop Asus VivoBook 14X OLED K3405ZF-KM184W,https://cellphones.com.vn/laptop-asus-vivobook-14x-oled-k3405zf-km184w.html,19.190.000₫,13.990.000₫,Giảm 19%
57,Laptop Huawei Matebook D15,https://cellphones.com.vn/laptop-huawei-matebook-d15-r7-5700u.html,20.990.000₫,44.990.000₫,Giảm 18%
58,MacBook Pro 14 inch M3 2023 (8 CPU - 10 GPU 16GB 512GB),https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-16gb-512gb.html,11.490.000₫,39.990.000₫,Giảm 1%
59,Laptop Asus ROG Strix G16 G614JU-N3135W,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ju-n3135w.html,44.490.000₫,12.690.000₫,Giảm 20%
60,Laptop Asus VivoBook 15 X1504VA-NJ069W,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj069w.html,31.990.000₫,22.490.000₫,Giảm 18%
61,Laptop MSI Gaming GF63 12VE-460VN,https://cellphones.com.vn/laptop-msi-gaming-gf63-12ve-460vn.html,10.390.000₫,41.990.000₫,Giảm 12%
62,Apple MacBook Pro 13 M2 2022 8GB 512GB I Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-m2-2022-512gb.html,19.790.000₫,16.990.000₫,Giảm 21%
63,Laptop Huawei Matebook D14,https://cellphones.com.vn/laptop-huawei-matebook-d14-i5-1240p.html,32.990.000₫,15.990.000₫,Giảm 12%
64,Laptop MSI Modern 14 C12MO-660VN,https://cellphones.com.vn/laptop-msi-modern-14-c12mo-660vn.html,14.990.000₫,31.990.000₫,Giảm 21%
65,Laptop Asus Zenbook 14 OLED UX3402VA-KM068W,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3402va-km068w.html,12.690.000₫,13.690.000₫,Giảm 17%
66,Laptop Lenovo IdeaPad 3 15ITL6 82H80388VN,https://cellphones.com.vn/laptop-lenovo-ideapad-3-15itl6-82h80388vn.html,26.490.000₫,15.990.000₫,Giảm 19%
67,Laptop Acer Aspire 3 A315-58-53S6 NX.AM0SV.005,https://cellphones.com.vn/laptop-acer-aspire-3-a315-58-53s6.html,11.090.000₫,23.790.000₫,Giảm 33%
68,Laptop Acer Swift 3 SF314-512-56QN NX.K0FSV.002,https://cellphones.com.vn/laptop-acer-swift-3-sf314-512-56qn-nx-k0fsv-002.html,10.790.000₫,23.590.000₫,Giảm 26%
69,Laptop HP Victus 15-FA1155TX 952R1PA,https://cellphones.com.vn/laptop-hp-victus-15-fa1155tx-952r1pa.html,17.490.000₫,13.990.000₫,Giảm 24%
70,Laptop Dell Inspiron 15 3520 W15KT,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-w15kt.html,17.990.000₫,21.900.000₫,Giảm 7%
71,Laptop HP Pavilion 15-EG2089TU 7C0R1PA,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2089tu-7c0r1pa.html,12.990.000₫,24.490.000₫,Giảm 18%
72,Laptop HP Gaming Victus 15-FB1023AX 94F20PA,https://cellphones.com.vn/laptop-hp-gaming-victus-15-fb1023ax-94f20pa.html,17.990.000₫,18.990.000₫,Giảm 28%
73,Laptop Dell Vostro 3520 Y4G15,https://cellphones.com.vn/laptop-dell-vostro-3520-y4g15.html,17.590.000₫,23.400.000₫,Giảm 8%
74,Laptop MSI Katana GF66 12UCK-699VN,https://cellphones.com.vn/laptop-msi-katana-gf66-2uck-699vn.html,17.490.000₫,25.990.000₫,Giảm 30%
75,Laptop Asus ZenBook 14 OLED UX3402VA-KM203W,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3402va-km203w.html,16.490.000₫,29.990.000₫,Giảm 13%
76,Laptop Surface Pro 9,https://cellphones.com.vn/laptop-surface-pro-9.html,22.690.000₫,32.990.000₫,Giảm 12%
